GAME_ID,Date,Start (ET),Visitor_ID,Visitor_PTS,Home_ID,Home_PTS,Notes
135,"Sat, Nov 12, 2016",8:30 PM,1610612763,96,1610612749,106,
137,"Sat, Nov 12, 2016",7:00 PM,1610612747,126,1610612740,99,
138,"Sat, Nov 12, 2016",9:00 PM,1610612751,122,1610612756,104,
139,"Sat, Nov 12, 2016",7:30 PM,1610612752,107,1610612761,118,
140,"Sun, Nov 13, 2016",3:30 PM,1610612766,93,1610612739,100,
141,"Sun, Nov 13, 2016",8:00 PM,1610612756,120,1610612744,133,
142,"Sun, Nov 13, 2016",7:00 PM,1610612747,99,1610612750,125,
143,"Sun, Nov 13, 2016",7:00 PM,1610612753,119,1610612760,117,
144,"Sun, Nov 13, 2016",9:00 PM,1610612743,105,1610612757,112,
145,"Mon, Nov 14, 2016",7:30 PM,1610612760,88,1610612765,104,
146,"Mon, Nov 14, 2016",8:00 PM,1610612755,88,1610612745,115,
147,"Mon, Nov 14, 2016",7:00 PM,1610612753,69,1610612754,88,
149,"Mon, Nov 14, 2016",8:00 PM,1610612738,105,1610612740,106,
150,"Mon, Nov 14, 2016",7:30 PM,1610612742,77,1610612752,93,
151,"Mon, Nov 14, 2016",8:30 PM,1610612748,90,1610612759,94,
152,"Mon, Nov 14, 2016",9:00 PM,1610612763,102,1610612762,96,
153,"Tue, Nov 15, 2016",7:00 PM,1610612761,117,1610612739,121,
154,"Tue, Nov 15, 2016",10:30 PM,1610612751,118,1610612747,125,
155,"Tue, Nov 15, 2016",7:30 PM,1610612737,93,1610612748,90,
156,"Tue, Nov 15, 2016",8:00 PM,1610612766,115,1610612750,108,
157,"Tue, Nov 15, 2016",10:00 PM,1610612741,113,1610612757,88,
158,"Wed, Nov 16, 2016",7:30 PM,1610612749,100,1610612737,107,
159,"Wed, Nov 16, 2016",7:30 PM,1610612742,83,1610612738,90,
160,"Wed, Nov 16, 2016",9:00 PM,1610612756,104,1610612743,120,
161,"Wed, Nov 16, 2016",7:00 PM,1610612739,93,1610612754,103,
163,"Wed, Nov 16, 2016",7:30 PM,1610612765,102,1610612752,105,
164,"Wed, Nov 16, 2016",8:00 PM,1610612745,103,1610612760,105,
165,"Wed, Nov 16, 2016",7:00 PM,1610612740,82,1610612753,89,
166,"Wed, Nov 16, 2016",7:00 PM,1610612764,102,1610612755,109,
167,"Wed, Nov 16, 2016",10:30 PM,1610612759,110,1610612758,105,
168,"Wed, Nov 16, 2016",8:00 PM,1610612744,127,1610612761,121,
169,"Thu, Nov 17, 2016",8:00 PM,1610612757,109,1610612745,126,
170,"Thu, Nov 17, 2016",7:30 PM,1610612749,73,1610612748,96,
171,"Thu, Nov 17, 2016",8:00 PM,1610612755,86,1610612750,110,
172,"Thu, Nov 17, 2016",10:30 PM,1610612741,85,1610612762,77,
173,"Thu, Nov 17, 2016",7:00 PM,1610612752,112,1610612764,119,
174,"Fri, Nov 18, 2016",8:00 PM,1610612744,104,1610612738,88,
175,"Fri, Nov 18, 2016",7:00 PM,1610612737,96,1610612766,100,
176,"Fri, Nov 18, 2016",7:30 PM,1610612765,81,1610612739,104,
177,"Fri, Nov 18, 2016",8:30 PM,1610612763,80,1610612742,64,
178,"Fri, Nov 18, 2016",9:00 PM,1610612761,113,1610612743,111,OT
179,"Fri, Nov 18, 2016",7:00 PM,1610612756,116,1610612754,96,
180,"Fri, Nov 18, 2016",10:30 PM,1610612759,116,1610612747,107,
181,"Fri, Nov 18, 2016",8:00 PM,1610612757,101,1610612740,113,
182,"Fri, Nov 18, 2016",8:00 PM,1610612751,105,1610612760,124,
184,"Sat, Nov 19, 2016",7:00 PM,1610612738,94,1610612765,92,
185,"Sat, Nov 19, 2016",5:00 PM,1610612762,102,1610612745,111,
187,"Sat, Nov 19, 2016",8:00 PM,1610612750,71,1610612763,93,
188,"Sat, Nov 19, 2016",8:30 PM,1610612744,124,1610612749,121,
189,"Sat, Nov 19, 2016",7:00 PM,1610612766,116,1610612740,121,OT
190,"Sat, Nov 19, 2016",7:00 PM,1610612742,87,1610612753,95,
191,"Sat, Nov 19, 2016",7:30 PM,1610612756,105,1610612755,120,
192,"Sat, Nov 19, 2016",7:00 PM,1610612748,114,1610612764,111,
193,"Sun, Nov 20, 2016",3:30 PM,1610612757,129,1610612751,109,
194,"Sun, Nov 20, 2016",9:00 PM,1610612762,91,1610612743,105,
195,"Sun, Nov 20, 2016",9:30 PM,1610612741,118,1610612747,110,
196,"Sun, Nov 20, 2016",12:00 PM,1610612737,94,1610612752,104,
197,"Sun, Nov 20, 2016",7:00 PM,1610612754,115,1610612760,111,OT
198,"Sun, Nov 20, 2016",9:00 PM,1610612761,99,1610612758,102,
199,"Mon, Nov 21, 2016",7:00 PM,1610612763,105,1610612766,90,
200,"Mon, Nov 21, 2016",7:30 PM,1610612745,99,1610612765,96,
201,"Mon, Nov 21, 2016",7:00 PM,1610612744,120,1610612754,83,
203,"Mon, Nov 21, 2016",8:00 PM,1610612753,89,1610612749,93,
204,"Mon, Nov 21, 2016",8:00 PM,1610612738,99,1610612750,93,
205,"Mon, Nov 21, 2016",7:00 PM,1610612748,94,1610612755,101,
